TransactionID,CustomerID,Amount,Timestamp
T4_1,4069,54.73,2023-01-01 00:00:00
T4_2,1149,68.21,2023-01-01 00:01:00
T4_3,2046,75.86,2023-01-01 00:02:00
T4_4,3803,258.51,2023-01-01 00:03:00
T4_5,6334,12.67,2023-01-01 00:04:00
T4_6,9590,57.08,2023-01-01 00:05:00
T4_7,5476,508.62,2023-01-01 00:06:00
T4_8,8276,24.93,2023-01-01 00:07:00
T4_9,1551,203.57,2023-01-01 00:08:00
T4_10,9486,66.1,2023-01-01 00:09:00
T4_11,2143,130.76,2023-01-01 00:10:00
T4_12,1455,15.73,2023-01-01 00:11:00
T4_13,9360,54.88,2023-01-01 00:12:00
T4_14,2946,104.23,2023-01-01 00:13:00
T4_15,7115,39.54,2023-01-01 00:14:00
T4_16,8310,117.09,2023-01-01 00:15:00
T4_17,7180,37.22,2023-01-01 00:16:00
T4_18,6817,157.52,2023-01-01 00:17:00
T4_19,6380,352.07,2023-01-01 00:18:00
T4_20,7374,13.4,2023-01-01 00:19:00
T4_21,9445,36.62,2023-01-01 00:20:00
T4_22,9070,279.09,2023-01-01 00:21:00
T4_23,2320,149.77,2023-01-01 00:22:00
T4_24,8123,12.3,2023-01-01 00:23:00
T4_25,7153,99.93,2023-01-01 00:24:00
T4_26,7589,35.31,2023-01-01 00:25:00
T4_27,4607,33.3,2023-01-01 00:26:00
T4_28,1400,423.63,2023-01-01 00:27:00
T4_29,7042,215.03,2023-01-01 00:28:00
T4_30,1362,178.72,2023-01-01 00:29:00
T4_31,4851,40.95,2023-01-01 00:30:00
T4_32,4412,18.93,2023-01-01 00:31:00
T4_33,1084,307.0,2023-01-01 00:32:00
T4_34,2824,0.88,2023-01-01 00:33:00
T4_35,9499,73.68,2023-01-01 00:34:00
T4_36,9822,48.78,2023-01-01 00:35:00
T4_37,5775,126.73,2023-01-01 00:36:00
T4_38,8868,43.25,2023-01-01 00:37:00
T4_39,8619,55.92,2023-01-01 00:38:00
T4_40,8418,284.61,2023-01-01 00:39:00
T4_41,3371,138.64,2023-01-01 00:40:00
T4_42,8068,23.62,2023-01-01 00:41:00
T4_43,4300,194.45,2023-01-01 00:42:00
T4_44,6821,34.88,2023-01-01 00:43:00
T4_45,8803,85.11,2023-01-01 00:44:00
T4_46,8464,156.03,2023-01-01 00:45:00
T4_47,1726,47.6,2023-01-01 00:46:00
T4_48,8121,72.7,2023-01-01 00:47:00
T4_49,5312,198.72,2023-01-01 00:48:00
T4_50,9000,416.88,2023-01-01 00:49:00
T4_51,5543,113.01,2023-01-01 00:50:00
T4_52,9014,1.5,2023-01-01 00:51:00
T4_53,1318,61.98,2023-01-01 00:52:00
T4_54,4475,76.28,2023-01-01 00:53:00
T4_55,6153,62.14,2023-01-01 00:54:00
T4_56,5134,85.98,2023-01-01 00:55:00
T4_57,2602,150.22,2023-01-01 00:56:00
T4_58,3256,19.37,2023-01-01 00:57:00
T4_59,8319,47.75,2023-01-01 00:58:00
T4_60,8532,106.28,2023-01-01 00:59:00
T4_61,8366,56.88,2023-01-01 01:00:00
T4_62,3648,708.01,2023-01-01 01:01:00
T4_63,7903,84.7,2023-01-01 01:02:00
T4_64,2858,305.8,2023-01-01 01:03:00
T4_65,2102,340.24,2023-01-01 01:04:00
T4_66,3481,271.19,2023-01-01 01:05:00
T4_67,2820,7.21,2023-01-01 01:06:00
T4_68,4158,442.75,2023-01-01 01:07:00
T4_69,4684,20.67,2023-01-01 01:08:00
T4_70,8411,5.25,2023-01-01 01:09:00
T4_71,4651,80.26,2023-01-01 01:10:00
T4_72,8707,32.47,2023-01-01 01:11:00
T4_73,9461,30.54,2023-01-01 01:12:00
T4_74,9107,50.91,2023-01-01 01:13:00
T4_75,7881,42.83,2023-01-01 01:14:00
T4_76,7220,173.18,2023-01-01 01:15:00
T4_77,5830,31.01,2023-01-01 01:16:00
T4_78,5979,117.5,2023-01-01 01:17:00
T4_79,8334,644.95,2023-01-01 01:18:00
T4_80,4775,84.95,2023-01-01 01:19:00
