Date,ProductID,OurPrice,CompetitorPrice,UnitsSold,Inventory
2024-01-01,P001,50.07,51.64,28,124
2024-01-02,P001,36.78,32.3,23,102
2024-01-03,P001,43.93,39.36,24,71
2024-01-04,P001,34.64,33.45,28,239
2024-01-05,P001,47.17,39.9,28,100
2024-01-06,P001,44.21,46.95,38,139
2024-01-07,P001,48.29,43.38,28,57
2024-01-08,P001,50.95,44.29,24,155
2024-01-09,P001,44.53,41.73,38,251
2024-01-10,P001,47.93,47.57,44,264
2024-01-11,P001,49.66,46.73,32,266
2024-01-12,P001,48.55,40.26,30,265
2024-01-13,P001,51.49,50.52,40,82
2024-01-14,P001,45.95,41.72,27,153
2024-01-15,P001,49.13,41.07,32,296
2024-01-16,P001,46.66,48.35,36,91
2024-01-17,P001,39.93,36.09,38,145
2024-01-18,P001,42.93,41.2,34,78
2024-01-19,P001,42.79,38.29,39,234
2024-01-20,P001,46.31,40.44,23,239
2024-01-21,P001,53.7,51.22,40,274
2024-01-22,P001,51.09,44.15,24,204
2024-01-23,P001,39.76,35.5,22,256
2024-01-24,P001,44.42,39.71,30,111
2024-01-25,P001,46.74,38.72,23,130
2024-01-26,P001,44.63,41.37,28,175
2024-01-27,P001,46.66,40.16,30,172
2024-01-28,P001,50.48,45.62,27,193
2024-01-29,P001,44.37,44.14,28,197
2024-01-30,P001,41.35,36.31,32,197
2024-01-31,P001,41.52,39.95,36,131
2024-02-01,P001,49.25,49.03,38,208
2024-02-02,P001,45.05,43.72,35,298
2024-02-03,P001,38.28,35.64,32,296
2024-02-04,P001,40.65,33.69,34,201
2024-02-05,P001,50.1,50.41,36,266
2024-02-06,P001,47.71,41.06,30,218
2024-02-07,P001,40.19,37.11,29,244
2024-02-08,P001,50.95,53.64,27,168
2024-02-09,P001,49.53,42.04,35,70
2024-02-10,P001,60.51,57.79,31,110
2024-02-11,P001,60.76,57.66,36,221
2024-02-12,P001,45.72,44.86,32,148
2024-02-13,P001,42.09,37.3,25,67
2024-02-14,P001,50.39,47.66,35,73
2024-02-15,P001,50.01,43.77,25,283
2024-02-16,P001,48.62,47.31,36,225
2024-02-17,P001,37.83,36.23,31,201
2024-02-18,P001,46.96,46.57,34,114
2024-02-19,P001,46.01,40.95,28,100
2024-02-20,P001,58.41,49.81,22,135
2024-02-21,P001,48.61,39.97,23,109
2024-02-22,P001,49.58,42.77,18,165
2024-02-23,P001,55.15,49.94,22,163
2024-02-24,P001,36.71,34.27,37,141
2024-02-25,P001,42.55,42.07,27,176
2024-02-26,P001,42.98,44.96,29,83
2024-02-27,P001,45.24,41.63,25,178
2024-02-28,P001,57.45,57.54,33,193
2024-02-29,P001,43.44,39.65,21,239
2024-01-01,P002,72.06,72.36,94,299
2024-01-02,P002,82.53,83.5,73,299
2024-01-03,P002,74.82,74.09,95,65
2024-01-04,P002,75.81,71.01,109,227
2024-01-05,P002,69.64,67.25,102,61
2024-01-06,P002,77.01,73.68,107,190
2024-01-07,P002,72.09,65.28,84,142
2024-01-08,P002,71.86,71.41,81,286
2024-01-09,P002,77.05,73.82,93,201
2024-01-10,P002,65.87,59.21,96,239
2024-01-11,P002,67.14,65.23,98,148
2024-01-12,P002,81.34,78.4,87,226
2024-01-13,P002,72.75,72.71,94,193
2024-01-14,P002,65.85,61.51,86,277
2024-01-15,P002,83.88,82.09,104,217
2024-01-16,P002,72.46,70.15,89,293
2024-01-17,P002,76.26,72.7,94,208
2024-01-18,P002,63.11,59.06,97,68
2024-01-19,P002,74.72,68.71,69,110
2024-01-20,P002,77.58,76.78,99,298
2024-01-21,P002,67.58,62.05,102,183
2024-01-22,P002,65.33,64.12,110,196
2024-01-23,P002,74.93,73.43,97,208
2024-01-24,P002,81.99,76.89,70,201
2024-01-25,P002,67.55,66.9,84,235
2024-01-26,P002,71.03,65.4,85,204
2024-01-27,P002,76.52,79.15,92,269
2024-01-28,P002,71.58,67.37,88,202
2024-01-29,P002,78.31,74.92,104,168
2024-01-30,P002,81.81,77.47,87,266
2024-01-31,P002,74.24,74.95,93,289
2024-02-01,P002,75.9,71.45,91,52
2024-02-02,P002,82.39,80.33,113,194
2024-02-03,P002,71.11,66.17,83,53
2024-02-04,P002,78.37,72.0,92,121
2024-02-05,P002,74.8,70.52,90,99
2024-02-06,P002,75.66,76.12,97,106
2024-02-07,P002,71.99,76.61,97,191
2024-02-08,P002,69.99,69.04,82,87
2024-02-09,P002,82.86,83.69,97,275
2024-02-10,P002,75.81,66.3,94,296
2024-02-11,P002,84.34,82.02,102,194
2024-02-12,P002,66.29,63.13,91,102
2024-02-13,P002,69.07,64.26,92,160
2024-02-14,P002,69.3,67.77,89,244
2024-02-15,P002,77.15,74.2,95,70
2024-02-16,P002,72.16,66.78,79,50
2024-02-17,P002,64.08,62.62,108,267
2024-02-18,P002,74.3,71.43,101,288
2024-02-19,P002,68.68,65.81,89,85
2024-02-20,P002,77.88,77.15,84,176
2024-02-21,P002,74.63,71.8,100,179
2024-02-22,P002,79.07,73.1,103,288
2024-02-23,P002,68.96,60.98,73,77
2024-02-24,P002,71.58,65.33,76,261
2024-02-25,P002,63.93,59.75,95,277
2024-02-26,P002,86.68,86.73,102,132
2024-02-27,P002,67.2,60.79,103,236
2024-02-28,P002,67.82,66.51,79,296
2024-02-29,P002,80.75,77.63,76,201
2024-01-01,P003,78.71,77.77,20,53
2024-01-02,P003,100.2,96.98,23,252
2024-01-03,P003,82.88,81.51,24,167
2024-01-04,P003,86.68,85.59,24,50
2024-01-05,P003,83.6,83.0,22,149
2024-01-06,P003,95.63,87.58,12,54
2024-01-07,P003,96.26,91.53,14,66
2024-01-08,P003,90.87,84.8,17,144
2024-01-09,P003,92.07,89.34,15,89
2024-01-10,P003,94.12,92.61,24,84
2024-01-11,P003,93.2,88.93,20,181
2024-01-12,P003,95.33,87.2,16,153
2024-01-13,P003,87.84,78.15,10,192
2024-01-14,P003,81.92,81.91,20,102
2024-01-15,P003,92.4,91.72,23,241
2024-01-16,P003,99.75,96.66,22,204
2024-01-17,P003,98.77,96.98,26,87
2024-01-18,P003,80.0,79.03,20,64
2024-01-19,P003,89.0,87.14,16,179
2024-01-20,P003,91.36,87.96,19,76
2024-01-21,P003,85.93,81.39,24,249
2024-01-22,P003,82.83,78.01,12,274
2024-01-23,P003,91.77,90.95,24,141
2024-01-24,P003,88.08,84.53,11,90
2024-01-25,P003,90.77,90.12,27,106
2024-01-26,P003,85.05,78.75,12,224
2024-01-27,P003,90.44,86.15,22,218
2024-01-28,P003,90.17,84.33,16,140
2024-01-29,P003,83.71,79.93,18,201
2024-01-30,P003,85.25,83.09,24,203
2024-01-31,P003,89.88,83.56,16,190
2024-02-01,P003,84.41,75.68,17,207
2024-02-02,P003,104.07,97.75,15,269
2024-02-03,P003,88.41,74.7,7,274
2024-02-04,P003,95.9,96.72,19,121
2024-02-05,P003,91.72,88.33,14,288
2024-02-06,P003,95.53,94.41,30,191
2024-02-07,P003,94.19,90.26,14,174
2024-02-08,P003,92.88,92.49,23,179
2024-02-09,P003,89.58,86.29,23,271
2024-02-10,P003,95.97,91.89,22,207
2024-02-11,P003,96.08,92.99,23,164
2024-02-12,P003,99.73,97.0,22,250
2024-02-13,P003,92.08,88.53,14,124
2024-02-14,P003,91.83,92.76,28,83
2024-02-15,P003,101.25,100.41,26,155
2024-02-16,P003,89.1,84.17,14,147
2024-02-17,P003,99.55,99.6,21,171
2024-02-18,P003,81.95,75.98,26,230
2024-02-19,P003,84.05,82.8,19,213
2024-02-20,P003,86.35,86.51,23,160
2024-02-21,P003,82.45,79.08,19,293
2024-02-22,P003,91.2,86.22,18,203
2024-02-23,P003,80.63,76.58,16,110
2024-02-24,P003,88.09,90.53,20,278
2024-02-25,P003,96.15,91.37,20,61
2024-02-26,P003,96.55,93.91,21,247
2024-02-27,P003,98.0,98.09,22,128
2024-02-28,P003,85.82,85.98,30,264
2024-02-29,P003,94.51,93.88,12,236
2024-01-01,P004,79.09,80.33,38,180
2024-01-02,P004,80.25,81.08,41,64
2024-01-03,P004,86.33,87.5,40,210
2024-01-04,P004,86.79,86.46,31,219
2024-01-05,P004,83.27,76.71,40,95
2024-01-06,P004,91.57,86.52,29,234
2024-01-07,P004,77.43,76.13,33,152
2024-01-08,P004,94.15,91.65,30,195
2024-01-09,P004,75.79,69.17,32,299
