TransactionID,CustomerID,Amount,Timestamp
T00001,C0191,7.93,2024-01-01 00:00:00
T00002,C0253,282.23,2024-01-01 01:00:00
T00003,C0469,53.89,2024-01-01 02:00:00
T00004,C0416,87.03,2024-01-01 03:00:00
T00005,C0471,251.55,2024-01-01 04:00:00
T00006,C0161,8.64,2024-01-01 05:00:00
T00007,C0256,209.28,2024-01-01 06:00:00
T00008,C0323,80.2,2024-01-01 07:00:00
T00009,C0128,18.01,2024-01-01 08:00:00
T00010,C0018,52.98,2024-01-01 09:00:00
T00011,C0281,150.33,2024-01-01 10:00:00
T00012,C0490,65.46,2024-01-01 11:00:00
T00013,C0223,421.9,2024-01-01 12:00:00
T00014,C0054,47.28,2024-01-01 13:00:00
T00015,C0058,138.46,2024-01-01 14:00:00
T00016,C0323,49.92,2024-01-01 15:00:00
T00017,C0360,176.71,2024-01-01 16:00:00
T00018,C0174,84.18,2024-01-01 17:00:00
T00019,C0280,6.56,2024-01-01 18:00:00
T00020,C0114,3.75,2024-01-01 19:00:00
T00021,C0288,14.37,2024-01-01 20:00:00
T00022,C0431,1.38,2024-01-01 21:00:00
T00023,C0342,7.83,2024-01-01 22:00:00
T00024,C0151,117.67,2024-01-01 23:00:00
T00025,C0450,76.43,2024-01-02 00:00:00
T00026,C0127,138.59,2024-01-02 01:00:00
T00027,C0155,244.38,2024-01-02 02:00:00
T00028,C0490,87.98,2024-01-02 03:00:00
T00029,C0386,129.51,2024-01-02 04:00:00
T00030,C0474,141.5,2024-01-02 05:00:00
T00031,C0273,47.46,2024-01-02 06:00:00
T00032,C0104,27.59,2024-01-02 07:00:00
T00033,C0417,22.95,2024-01-02 08:00:00
T00034,C0393,28.96,2024-01-02 09:00:00
T00035,C0299,32.12,2024-01-02 10:00:00
T00036,C0246,23.22,2024-01-02 11:00:00
T00037,C0176,210.55,2024-01-02 12:00:00
T00038,C0039,141.47,2024-01-02 13:00:00
T00039,C0477,4.8,2024-01-02 14:00:00
T00040,C0170,31.29,2024-01-02 15:00:00
T00041,C0247,2.24,2024-01-02 16:00:00
T00042,C0026,68.95,2024-01-02 17:00:00
T00043,C0355,64.67,2024-01-02 18:00:00
T00044,C0306,178.01,2024-01-02 19:00:00
T00045,C0409,36.78,2024-01-02 20:00:00
T00046,C0408,169.49,2024-01-02 21:00:00
T00047,C0013,344.12,2024-01-02 22:00:00
T00048,C0316,9.26,2024-01-02 23:00:00
T00049,C0391,156.93,2024-01-03 00:00:00
T00050,C0313,89.15,2024-01-03 01:00:00
T00051,C0036,65.4,2024-01-03 02:00:00
T00052,C0173,54.57,2024-01-03 03:00:00
T00053,C0020,153.56,2024-01-03 04:00:00
T00054,C0321,101.99,2024-01-03 05:00:00
T00055,C0264,163.5,2024-01-03 06:00:00
T00056,C0494,233.46,2024-01-03 07:00:00
T00057,C0400,96.04,2024-01-03 08:00:00
T00058,C0142,393.54,2024-01-03 09:00:00
T00059,C0460,93.67,2024-01-03 10:00:00
T00060,C0371,101.24,2024-01-03 11:00:00
T00061,C0471,80.93,2024-01-03 12:00:00
T00062,C0143,9.54,2024-01-03 13:00:00
T00063,C0092,129.61,2024-01-03 14:00:00
T00064,C0354,79.28,2024-01-03 15:00:00
T00065,C0322,59.95,2024-01-03 16:00:00
T00066,C0288,241.32,2024-01-03 17:00:00
T00067,C0215,35.38,2024-01-03 18:00:00
T00068,C0447,74.15,2024-01-03 19:00:00
T00069,C0342,119.61,2024-01-03 20:00:00
T00070,C0051,159.2,2024-01-03 21:00:00
T00071,C0153,61.5,2024-01-03 22:00:00
T00072,C0186,184.57,2024-01-03 23:00:00
T00073,C0063,146.5,2024-01-04 00:00:00
T00074,C0190,6.85,2024-01-04 01:00:00
T00075,C0125,4.69,2024-01-04 02:00:00
T00076,C0150,96.97,2024-01-04 03:00:00
T00077,C0314,42.68,2024-01-04 04:00:00
T00078,C0058,23.46,2024-01-04 05:00:00
T00079,C0342,86.67,2024-01-04 06:00:00
T00080,C0305,41.79,2024-01-04 07:00:00
T00081,C0180,77.06,2024-01-04 08:00:00
